,Cm_x_A,Cm_y_A,Cm_z_A,Cx_A,Cx_G,Cy_A,Cy_G,Cz_A,Cz_G
0,0,0,0,0.0,0.0,0,0.0,0,0.0
1,0,0,0,-4.257963565026178e-14,-4.257963565026178e-14,0,0.0,0,1.0
2,0,0,0,-0.2448131294179574,-0.2448131294179574,0,0.0,0,1.0
3,0,0,0,-0.4903694131345926,-0.4903694131345926,0,0.0,0,1.0
4,0,0,0,-0.736669118744711,-0.736669118744711,0,0.0,0,1.0
5,0,0,0,-0.9837136726224625,-0.9837136726224625,0,0.0,0,1.0
6,0,0,0,-1.2315055314807353,-1.2315055314807353,0,0.0,0,1.0
7,0,0,0,-1.480048055122971,-1.480048055122971,0,0.0,0,1.0
8,0,0,0,-1.7293453793077447,-1.7293453793077447,0,0.0,0,1.0
9,0,0,0,-1.9794022874780204,-1.9794022874780204,0,0.0,0,1.0
10,0,0,0,-2.2302240801719435,-2.2302240801719435,0,0.0,0,1.0
11,0,0,0,-2.4818164409380543,-2.4818164409380543,0,0.0,0,1.0
